koi_fpflag_co,koi_time0,koi_impact,koi_duration,koi_depth,koi_srho,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_ldm_coeff2,koi_model_snr,koi_count,koi_tce_plnt_num,koi_smet,ra,dec,koi_fwm_sdec,koi_fwm_srao,koi_fittype_ls,koi_fittype_lsmcmc,koi_fittype_mcmc,koi_disposition
1.0,2455004.798,1.175,6.222,322.6,0.00393,17.47,0.0731,58.94,838.0,116.46,2.28,0.2711,14.2,1.0,2.0,-0.18,293.94116,38.601101,38.6029,32.76,0.0,1.0,0.0,1
0.0,2455007.581,0.281,7.7915,16918.0,0.23528,13.28,0.0888,88.54,843.0,119.31,10.988,0.2676,636.8,1.0,1.0,-0.1,287.69675,38.886452,38.8864195,0.088,0.0,1.0,0.0,1
0.0,2454987.236,0.379,8.9302,10566.0,1.83449,8.9,0.5336,89.83,308.0,2.14,125.8,0.224,138.8,5.0,2.0,0.21,285.28363,38.947281,38.947157,-0.232,0.0,1.0,0.0,0
1.0,2455004.983,0.014,5.414,589.2,0.17407,1.7,0.0367,89.81,918.0,168.45,4.349,0.1054,48.5,1.0,1.0,0.1,287.74881,38.92955,43.45945583882353,137.34,0.0,1.0,0.0,1
0.0,2455003.648,0.514,1.9604,15044.0,1.77544,11.3,0.0258,85.25,1539.0,1329.42,6.203,0.2965,1009.3,1.0,1.0,-0.38,285.21381,39.027481,39.0273461,-0.31,0.0,1.0,0.0,0
0.0,2455014.434,0.26,4.0595,2105.5,2.64998,3.41,0.1326,89.62,518.0,17.06,38.91,0.153,78.5,1.0,1.0,-0.04,289.31543,39.153278,39.153251,-0.05,0.0,1.0,0.0,0
0.0,2455007.771,0.08,4.4056,893.6,1.97596,3.12,0.139,89.86,701.0,57.13,33.12,0.2555,46.1,3.0,1.0,0.16,290.46176,40.562462,40.562512,-0.13,0.0,1.0,0.0,0
0.0,2455007.997,0.517,3.5957,2472.1,1.06292,5.52,0.081,88.02,964.0,204.39,15.0,0.2799,113.2,1.0,1.0,0.36,294.4899,39.771439,39.771406,0.11,0.0,1.0,0.0,0
0.0,2455029.935,0.501,4.34617,82872.0,6.21385,27.5,0.2252,89.63,500.0,14.81,78.037,0.2193,1300.0,1.0,1.0,0.36,294.14789,40.055538,40.0555557,0.0081,0.0,1.0,0.0,1
1.0,2455004.665,1.121,5.0642,616.0,0.00878,13.65,0.046,53.12,1031.0,266.76,1.868,0.2327,138.2,1.0,1.0,-0.04,291.06152,50.265129,50.262473,1.64,0.0,1.0,0.0,1
0.0,2455005.181,0.733,3.3148,15148.0,1.13074,10.34,0.0737,87.3,814.0,104.0,15.534,0.2865,389.0,1.0,1.0,-0.4,283.53845,40.217999,40.21791,-0.3,0.0,1.0,0.0,1
1.0,2455007.776,0.941,3.065,962.4,0.14724,3.86,0.066,81.71,1047.0,284.25,6.53,0.2889,50.3,1.0,1.0,-0.08,294.22397,40.417858,40.418228,-0.06,0.0,1.0,0.0,1
1.0,2455003.67,1.241,4.7211,1177.9,0.01691,26.25,0.0351,44.81,1261.0,597.19,1.749,0.2676,110.2,1.0,1.0,-0.12,298.96112,40.862808,40.870062,-97.44,0.0,1.0,0.0,1
0.0,2455006.394,0.709,3.831,16228.0,0.39988,12.28,0.0484,84.06,1104.0,351.05,6.856,0.2676,323.4,1.0,1.0,-0.06,294.05676,40.549679,40.5496722,0.0657,0.0,1.0,0.0,1
